"latitude","longitude"
43.0990658,-93.3461695
43.0031376,-95.9930866
41.4403319,-90.3213495
41.4512135,-90.3346916
41.569274,-90.357141
41.563889,-93.874659
41.549083,-93.949706
41.541161,-94.005059
41.517759,-94.117947
41.516725,-94.192102
41.510691,-94.199661
41.517523,-94.127182
41.567125,-93.857368
42.799797,-96.987902
42.7865416,-96.8984561
43.4865258,-96.7948243
43.260644,-96.796384
43.4924239,-96.7871526
43.3332909,-96.7966217
43.4358305,-96.7965733
43.4983598,-96.762597
43.3937159,-96.7964995
43.3066974,-96.7964472
43.1665923,-96.7954982
43.1747876,-96.7958639
43.2181093,-96.7961455
43.3271388,-96.7963323
43.3828884,-96.796158
43.456981,-96.7975737
43.4936768,-96.7775785
43.123926,-96.796594
43.2103292,-96.7957845
43.4862054,-96.7952755
43.129967,-96.796934
43.429096,-96.7960551
43.255069,-96.796033
43.6667728,-97.3027426
43.6665456,-97.1838525
43.5375947,-96.7802392
43.6466128,-97.0935974
43.6414311,-97.0853314
43.6088156,-96.4674339
43.6086384,-96.567284
43.5119483,-96.7266613
43.5115013,-96.7808691
43.7645262,-96.781502
43.5662993,-96.778181
43.5972274,-96.7709762
43.6124231,-96.7707108
43.5815276,-96.6931456
43.5488234,-96.7806783
43.5930424,-96.6910729
43.6023053,-96.7712362
43.6072488,-96.6906036
43.5437938,-96.6939481
43.5676932,-96.6936179
43.5231438,-96.7802597
43.5507201,-96.6939633
43.6078867,-96.6558293
43.5645776,-96.6932682
43.5082177,-96.7358699
43.5139681,-96.7166185
43.5187379,-96.7062171
43.5796177,-96.7710905
43.6089524,-96.893167
43.6088485,-96.9569394
43.6091424,-96.8878938
43.6057799,-96.7060405
43.6091014,-96.9436351
43.5237542,-96.7035397
43.6015675,-96.6905935
43.6126157,-96.7696483
43.6059799,-96.6974433
43.5048617,-96.7454555
43.5913854,-96.7713968
43.5832666,-96.7707643
43.5018792,-96.7525549
43.5189253,-96.780604
43.5302978,-96.7806648
43.5291419,-96.7010636
43.6056908,-96.7166663
43.609399,-96.647632
43.6088885,-96.4878587
43.6067278,-96.6916653
