"latitude","longitude"
32.513716,-93.7355912
32.5136499,-93.7206352
32.5251798,-93.7018928
32.5579416,-93.6737834
32.5589176,-93.6474989
32.5419581,-93.6203673
32.5140243,-93.731202
32.5571655,-93.6651467
32.5576432,-93.6841336
32.5440534,-93.6318154
32.541748,-93.6322366
32.5375151,-93.638278
32.4170972,-93.7411039
33.129618,-95.997336
33.131528,-95.95474
33.133539,-96.0511
33.129176,-95.980097
33.1320185,-95.9412442
32.5196097,-93.7082295
32.5152704,-93.7109659
32.5672179,-92.9436982
32.5138356,-93.7291182
32.562801,-92.9062387
32.5459764,-93.5195072
32.5139248,-93.7234384
32.5634539,-93.0498287
32.5627215,-93.1558515
32.462846,-93.824059
32.471144,-93.800546
32.489311,-93.772544
32.451662,-93.859702
32.4444816,-93.9545906
32.476275,-93.755016
32.469533,-93.8397534
32.390687,-93.751695
32.40871,-93.751669
32.4583558,-93.8380842
32.4464416,-93.7567765
32.460293,-93.83117
32.47308,-93.79453
32.4527785,-93.8546421
32.4477141,-93.8973013
32.417215,-93.820171
32.4199329,-93.756824
32.554024,-93.7814385
32.4997927,-93.7523411
32.41714,-93.802841
32.446705,-93.977254
32.4259383,-93.7513382
32.447453,-93.983135
32.4439465,-93.9454039
32.4156287,-93.7879918
32.482163,-93.830525
32.451174,-93.756515
32.45331,-93.84342
32.455816,-93.844419
32.488878,-93.825951
32.4897303,-93.7549958
32.5020035,-93.7492539
32.446824,-93.903825
32.420408,-93.769222
32.42033,-93.757758
32.483023,-93.775178
32.551043,-93.783842
32.556784,-93.77658
32.405839,-93.75209
32.417935,-93.742627
32.476855,-93.782614
32.4880354,-93.7732214
32.4603024,-93.7568101
32.449917,-93.871028
32.4931352,-93.7680333
32.4869997,-93.7552406
32.526418,-93.804526
32.41743,-93.810237
32.476737,-93.834832
32.416331,-93.791093
32.4459156,-93.8428586
32.5541788,-93.7816798
32.4812047,-93.7772069
32.507179,-93.745719
32.464965,-93.843454
32.4375996,-93.8409916
32.450417,-93.84307
32.4148458,-93.7337812
32.4128362,-93.7288733
32.4376764,-93.7559193
32.5021397,-93.7493887
32.277631,-93.747919
32.220962,-93.709936
32.117165,-93.605878
32.12236,-93.610923
32.214063,-93.702782
32.285953,-93.748449
32.5415625,-92.7121633
32.5382634,-92.5124176
32.5482247,-92.7908821
32.5400137,-92.6569252
32.5400757,-92.643022
32.54013,-92.6222144
32.5466262,-92.7633038
32.39043,-91.196296
32.319989,-90.956575
32.378937,-91.166621
32.430719,-91.413482
32.393163,-91.201713
32.329264,-91.019659
32.321069,-90.966297
32.381724,-91.176274
32.432156,-91.424772
32.329665,-91.023749
32.5216212,-92.3677026
32.5107858,-92.1951131
32.5198125,-92.3342972
32.4988402,-92.1433621
32.4957736,-92.0635667
32.4888904,-91.9871233
32.4996094,-92.0887357
32.5097922,-92.2748811
32.5097824,-92.2513729
32.4977816,-92.0855922
36.3840247,-94.1789315
36.37931,-94.172085
36.3110265,-94.1850916
36.3183784,-94.1851885
36.3529441,-94.1787105
36.3386692,-94.1826111
36.3593447,-94.1778388
36.331276,-94.1843252
36.4150417,-94.220831
36.4755177,-94.248066
36.2500672,-94.150365
36.258954,-94.1505117
36.2220633,-94.1800181
36.2288678,-94.1779157
36.4730335,-94.2459017
36.2800028,-94.1539771
36.4157088,-94.2218179
36.2874397,-94.1597692
36.2976349,-94.1724574
33.9276882,-93.2633374
33.9068657,-93.2923461
34.0695217,-93.1223642
33.9932133,-93.1873976
34.113694,-93.095392
34.1814114,-93.073017
33.9410986,-93.246355
